,時点,死亡数,集計年,説明変数,予測値,実測値からの差
170,1992年3月,76365,1992,1992.25,71889.55895890109,4475.441041098908
171,1992年4月,69626,1992,1992.3333333333333,72019.46553424001,-2393.4655342400074
172,1992年5月,70534,1992,1992.4166666666667,72149.37210957939,-1615.372109579388
173,1992年6月,65217,1992,1992.5,72279.27868491784,-7062.278684917837
174,1992年7月,67280,1992,1992.5833333333333,72409.18526025675,-5129.185260256752
175,1992年8月,66385,1992,1992.6666666666667,72539.09183559567,-6154.091835595667
176,1992年9月,64367,1992,1992.75,72668.99841093458,-8301.998410934582
177,1992年10月,69422,1992,1992.8333333333333,72798.9049862735,-3376.9049862734973
178,1992年11月,72160,1992,1992.9166666666667,72928.81156161241,-768.8115616124123
179,1992年12月,78646,1992,1993.0,73058.71813695133,5587.281863048673
180,1993年1月,90340,1993,1993.0833333333333,73188.62471229024,17151.375287709758
181,1993年2月,80576,1993,1993.1666666666667,73318.53128762916,7257.468712370843
182,1993年3月,80705,1993,1993.25,73448.43786296807,7256.562137031928
183,1993年4月,72850,1993,1993.3333333333333,73578.34443830652,-728.3444383065216
184,1993年5月,70802,1993,1993.4166666666667,73708.2510136459,-2906.2510136459023
185,1993年6月,64771,1993,1993.5,73838.15758898482,-9067.157588984817
186,1993年7月,67071,1993,1993.5833333333333,73968.06416432327,-6897.064164323267
187,1993年8月,65978,1993,1993.6666666666667,74097.97073966265,-8119.970739662647
188,1993年9月,63933,1993,1993.75,74227.8773150011,-10294.877315001097
189,1993年10月,71457,1993,1993.8333333333333,74357.78389034001,-2900.7838903400116
190,1993年11月,71107,1993,1993.9166666666667,74487.69046567939,-3380.690465679392
191,1993年12月,78942,1993,1994.0,74617.59704101784,4324.402958982158
192,1994年1月,82166,1994,1994.0833333333333,74747.50361635676,7418.4963836432435
193,1994年2月,73677,1994,1994.1666666666667,74877.41019169567,-1200.4101916956715
194,1994年3月,81175,1994,1994.25,75007.31676703459,6167.6832329654135
195,1994年4月,73396,1994,1994.3333333333333,75137.2233423735,-1741.2233423735015
196,1994年5月,69637,1994,1994.4166666666667,75267.12991771242,-5630.1299177124165
197,1994年6月,64002,1994,1994.5,75397.03649305133,-11395.036493051331
198,1994年7月,69240,1994,1994.5833333333333,75526.94306839025,-6286.9430683902465
199,1994年8月,71697,1994,1994.6666666666667,75656.84964372916,-3959.8496437291615
200,1994年9月,65827,1994,1994.75,75786.75621906808,-9959.756219068076
201,1994年10月,71340,1994,1994.8333333333333,75916.66279440653,-4576.662794406526
202,1994年11月,73201,1994,1994.9166666666667,76046.5693697459,-2845.5693697459064
203,1994年12月,80575,1994,1995.0,76176.47594508482,4398.524054915179
204,1995年1月,104324,1995,1995.0833333333333,76306.38252042327,28017.61747957673
205,1995年2月,86085,1995,1995.1666666666667,76436.28909576265,9648.710904237349
206,1995年3月,86986,1995,1995.25,76566.1956711011,10419.8043288989
207,1995年4月,74787,1995,1995.3333333333333,76696.10224644002,-1909.1022464400157
208,1995年5月,72093,1995,1995.4166666666667,76826.0088217794,-4733.008821779396
209,1995年6月,65931,1995,1995.5,76955.91539711785,-11024.915397117846
210,1995年7月,68778,1995,1995.5833333333333,77085.82197245676,-8307.82197245676
211,1995年8月,69268,1995,1995.6666666666667,77215.72854779568,-7947.728547795676
212,1995年9月,65904,1995,1995.75,77345.63512313459,-11441.63512313459
213,1995年10月,70587,1995,1995.8333333333333,77475.5416984735,-6888.541698473506
214,1995年11月,75284,1995,1995.9166666666667,77605.44827381242,-2321.4482738124207
215,1995年12月,82112,1995,1996.0,77735.35484915134,4376.645150848664
216,1996年1月,85194,1996,1996.0833333333333,77865.26142449025,7328.738575509749
217,1996年2月,79458,1996,1996.1666666666667,77995.16799982917,1462.8320001708344
218,1996年3月,80781,1996,1996.25,78125.07457516808,2655.9254248319194
219,1996年4月,75578,1996,1996.3333333333333,78254.98115050653,-2676.98115050653
220,1996年5月,73412,1996,1996.4166666666667,78384.88772584591,-4972.887725845911
221,1996年6月,65575,1996,1996.5,78514.79430118483,-12939.794301184826
222,1996年7月,68880,1996,1996.5833333333333,78644.70087652327,-9764.700876523275
223,1996年8月,68190,1996,1996.6666666666667,78774.60745186266,-10584.607451862656
224,1996年9月,66203,1996,1996.75,78904.5140272011,-12701.514027201105
225,1996年10月,73374,1996,1996.8333333333333,79034.42060254002,-5660.42060254002
226,1996年11月,73927,1996,1996.9166666666667,79164.3271778794,-5237.327177879401
227,1996年12月,85639,1996,1997.0,79294.23375321785,6344.76624678215
228,1997年1月,102195,1997,1997.0833333333333,79424.14032855676,22770.859671443235
229,1997年2月,80072,1997,1997.1666666666667,79554.04690389568,517.9530961043201
230,1997年3月,81559,1997,1997.25,79683.9534792346,1875.0465207654051
231,1997年4月,75638,1997,1997.3333333333333,79813.86005457351,-4175.86005457351
232,1997年5月,72479,1997,1997.4166666666667,79943.76662991242,-7464.766629912425
233,1997年6月,67852,1997,1997.5,80073.67320525134,-12221.67320525134
234,1997年7月,68232,1997,1997.5833333333333,80203.57978059025,-11971.579780590255
235,1997年8月,68358,1997,1997.6666666666667,80333.48635592917,-11975.48635592917
236,1997年9月,65865,1997,1997.75,80463.39293126808,-14598.392931268085
237,1997年10月,74523,1997,1997.8333333333333,80593.29950660653,-6070.299506606534
238,1997年11月,75916,1997,1997.9166666666667,80723.20608194591,-4807.206081945915
239,1997年12月,80713,1997,1998.0,80853.11265728483,-140.11265728482977
240,1998年1月,89678,1998,1998.0833333333333,80983.01923262328,8694.98076737672
241,1998年2月,88074,1998,1998.1666666666667,81112.92580796266,6961.07419203734
242,1998年3月,86105,1998,1998.25,81242.83238330111,4862.167616698891
243,1998年4月,75440,1998,1998.3333333333333,81372.73895864002,-5932.738958640024
